crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,1870661.52,6093.36,5238.051739,22.41,1468.92,70.71,60,18,38,5.8
Jute,1997,Kharif     ,Assam,94520.0,904095,8995468.4,29301.2,9.919565217,22.41,1468.92,70.71,60,18,38,5.8
Potato,1997,Whole Year ,Assam,75259.0,671871,7162399.03,23330.29,7.561304348,22.41,1468.92,70.71,60,18,38,5.8
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2980534.06,9708.58,41.89695652,22.41,1468.92,70.71,60,18,38,5.8
Sugarcane,1997,Whole Year ,Karnataka,308857.0,28999269,29393920.69,95745.67,91.74736842,23.55,894.16,69.61,72,42,25,6.9
Coconut ,1997,Whole Year ,Kerala,884344.0,5210000000,84163018.48,274146.64,5376.054286,27.06,2005.29,78.82,65,28,50,5.7
Tapioca,1997,Whole Year ,Kerala,132875.0,2841819,12645713.75,41191.25,22.80357143,27.06,2005.29,78.82,65,28,50,5.7
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,498595.63,1624.09,11.20714286,17.16,1954.46,77.31,52,16,33,5.6
Ginger,1997,Kharif     ,Meghalaya,7357.0,45260,700165.69,2280.67,6.054285714,17.16,1954.46,77.31,52,16,33,5.6
Jute,1997,Kharif     ,Meghalaya,4243.0,34683,403806.31,1315.33,8.436666667,17.16,1954.46,77.31,52,16,33,5.6
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,1976109.88,6436.84,8.641428571,17.16,1954.46,77.31,52,16,33,5.6
Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,376778.03,1227.29,6.537142857,17.16,1954.46,77.31,52,16,33,5.6
Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,133333.17,434.31,5.425714286,17.16,1954.46,77.31,52,16,33,5.6
Coconut ,1997,Whole Year ,West Bengal,24273.0,306202300,2310061.41,7524.63,13003.78778,25.85,1564.19,72.28,85,40,45,6.2
Jute,1997,Kharif     ,West Bengal,641574.0,7549700,61058597.58,198887.94,13.44588235,25.85,1564.19,72.28,85,40,45,6.2
Mesta,1997,Kharif     ,West Bengal,9689.0,89000,922102.13,3003.59,9.154166667,25.85,1564.19,72.28,85,40,45,6.2
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,27029707.55,88044.65,18.23722222,25.85,1564.19,72.28,85,40,45,6.2
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,2455100.49,7997.07,67.83625,25.85,1564.19,72.28,85,40,45,6.2
Onion,1998,Kharif     ,Puducherry,26.0,429,2568.8,7.54,16.5,28.33,1124.51,75.47,88,55,40,7.0
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,267748.0,785.9,82.595,28.33,1124.51,75.47,88,55,40,7.0
Tapioca,1998,Kharif     ,Puducherry,649.0,19110,64121.2,188.21,20.0,28.33,1124.51,75.47,88,55,40,7.0
Banana,1998,Whole Year ,Assam,41885.0,581884,4138238.0,12146.65,13.78826087,22.98,1701.15,73.03,60,18,38,5.8
