crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH,fertilizer_per_ha,pesticide_per_ha,NPK_total,N_to_P_ratio,N_to_K_ratio,P_to_K_ratio,NPK_balance_score,temp_rainfall_interaction,temp_humidity_interaction,moisture_index,growing_degree_days,rainfall_category,pH_optimal,pH_category,soil_fertility_score,fertilizer_rainfall_ratio,pesticide_efficiency,input_intensity,yield_lag1,yield_ma2,yield_change,years_since_start
Arecanut,2000,Whole Year ,Andhra Pradesh,262.0,724,25720.54,68.12,2.78,27.74,1070.25,70.73,78,45,22,6.8,97.79673003802282,0.2590114068441065,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,29688.734999999997,1962.0502,756.987825,17.74,High,1,Neutral,0.7229166666666667,0.09129216339605396,0.0009848342465555381,0.5933665214310456,1.03,2.78,0.0,3
Arecanut,2001,Whole Year ,Andhra Pradesh,268.0,449,27370.84,69.68,1.71,28.08,910.13,68.69,78,45,22,6.8,101.7503345724907,0.2590334572490707,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,25556.450399999998,1928.8151999999998,625.1682969999999,18.08,Medium,1,Neutral,0.7229166666666667,0.11167488127104881,0.0009629496552010062,0.603605797605528,2.78,2.245,-1.0699999999999998,4
Arecanut,2002,Whole Year ,Andhra Pradesh,296.0,427,28022.32,74.0,1.4525,28.54,768.22,66.52,78,45,22,6.8,94.35124579124579,0.24915824915824916,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,21924.9988,1898.4807999999998,511.01994399999995,18.54,Medium,1,Neutral,0.7229166666666667,0.12265833674533395,0.0008389166638324888,0.5715038072219757,1.71,1.5812499999999998,-0.25750000000000006,5
Arecanut,2003,Whole Year ,Andhra Pradesh,311.0,221,30782.78,74.64,0.704,28.31,857.23,68.83,78,45,22,6.8,98.6627564102564,0.23923076923076922,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,24268.1813,1948.5773,590.0314089999999,18.31,Medium,1,Neutral,0.7229166666666667,0.11496074060596391,0.0007667652859960552,0.5695758943687661,1.4525,1.07825,-0.7484999999999999,6
Arecanut,2005,Whole Year ,Andhra Pradesh,293.0,234,35136.56,61.53,0.8025,27.95,1192.26,71.1,78,45,22,6.8,119.5121088435374,0.2092857142857143,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,33323.667,1987.245,847.6968599999999,17.95,High,1,Neutral,0.7229166666666667,0.10015596671600271,0.0007118561710398446,0.5840183702987851,0.704,0.75325,0.09850000000000003,8
Arecanut,2006,Whole Year ,Andhra Pradesh,255.0,176,32566.05,56.1,0.685,27.65,1343.62,71.34,78,45,22,6.8,127.2111328125,0.219140625,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,37151.09299999999,1972.551,958.538508,17.65,High,1,Neutral,0.7229166666666667,0.09460749714603382,0.00085601806640625,0.6168682422033148,0.8025,0.74375,-0.11749999999999994,9
Arecanut,2008,Whole Year ,Andhra Pradesh,359.0,265,51351.36,32.31,0.915,27.71,1157.69,70.95,78,45,22,6.8,142.64266666666666,0.08975000000000001,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,32079.589900000003,1966.0245000000002,821.3810550000001,17.71,High,1,Neutral,0.7229166666666667,0.12310684192205563,0.00024930555555555556,0.48646964601045106,0.685,0.8,0.22999999999999998,11
Arecanut,2009,Whole Year ,Andhra Pradesh,386.0,198,60146.52,65.62,0.855,28.42,819.63,68.11,78,45,22,6.8,155.41736434108526,0.1695607235142119,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,23293.8846,1935.6862,558.2499929999999,18.42,Medium,1,Neutral,0.7229166666666667,0.18938786583610795,0.0004381414044294881,0.6244746779286623,0.915,0.885,-0.06000000000000005,12
Arecanut,2010,Whole Year ,Andhra Pradesh,438.0,195,72756.18,105.12,0.443333333,27.91,1557.24,73.66,78,45,22,6.8,165.73161731207287,0.23945330296127565,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,43462.568400000004,2055.8505999999998,1147.062984,17.91,Very High,1,Neutral,0.7229166666666667,0.10635821010375351,0.0005454517151737486,0.7430753714789422,0.855,0.6491666665,-0.411666667,13
Arecanut,2011,Whole Year ,Andhra Pradesh,562.0,275,94146.24,185.46,0.296666667,27.96,730.18,68.3,78,45,22,6.8,167.22245115452932,0.3294138543516874,145,1.729490022172949,3.5294117647058822,2.0361990950226243,49.0,20415.8328,1909.668,498.71293999999995,17.96,Medium,1,Neutral,0.7229166666666667,0.228702167940219,0.000585104537036745,0.8652946382831346,0.443333333,0.37,-0.146666666,14
